Date;CFC12;CFC11;CFC113;SF6;;
1940;0.335412;0.011857622;0;0;;
1941;0.477708;0.015810163;0;0;;
1942;0.66066;0.020750839;0;0;;
1943;0.884268;0.027667786;0;0;;
1944;1.179024;0.036561002;0.012820923;0;;
1945;1.555092;0.04743049;0.042407667;0;;
1946;2.154768;0.068181329;0.073966862;0;;
1947;3.110184;0.108694872;0.10848473;0;;
1948;4.37052;0.19762704;0.147933723;0;;
1949;5.762988;0.335965968;0.197244964;0;;
1950;7.277424;0.553355712;0.246556205;0;;
1951;8.934156;0.849796272;0.305729694;0;;
1952;10.692528;1.274694408;0.374765432;0;;
1953;12.593196;1.867575528;0.443801169;0.054;;
1953.5;13.665498;2.24800758;0.488181286;0.0545;;
1954;14.7378;2.628439632;0.532561403;0.055;;
1954.5;15.942234;3.092863176;0.581872644;0.055;;
1955;17.146668;3.55728672;0.631183885;0.055;;
1955.5;18.52389;4.135345812;0.690357374;0.0555;;
1956;19.901112;4.713404904;0.749530863;0.056;;
1956.5;21.481614;5.38533684;0.813635477;0.057;;
1957;23.062116;6.057268776;0.87774009;0.058;;
1957.5;24.779832;6.739082064;0.951706951;0.059;;
1958;26.497548;7.420895352;1.025673813;0.06;;
1958.5;28.35756;8.068123908;1.109502923;0.061;;
1959;30.217572;8.715352464;1.193332032;0.062;;
1959.5;32.367258;9.476216568;1.291954514;0.064;;
1960;34.516944;10.23708067;1.390576996;0.066;;
1960.5;36.99696;11.23015655;1.499061726;0.069;;
1961;39.476976;12.22323242;1.607546457;0.072;;
1961.5;42.287322;13.49792683;1.735755683;0.0755;;
1962;45.097668;14.77262124;1.86396491;0.079;;
1962.5;48.35523;16.34869688;2.006967509;0.0835;;
1963;51.612792;17.92477253;2.149970108;0.088;;
1963.5;55.41921;19.82199211;2.317628327;0.094;;
1964;59.225628;21.7192117;2.485286546;0.1;;
1964.5;63.570738;23.91287184;2.672669262;0.11;;
1965;67.915848;26.10653198;2.860051978;0.12;;
1965.5;72.779322;28.56698863;3.077021438;0.13;;
1966;77.642796;31.02744528;3.293990899;0.14;;
1966.5;82.63794462;33.78434249;3.540547104;0.15;;
1967;87.63309324;36.5412397;3.787103309;0.16;;
1967.5;93.6805716;39.6686876;4.068177383;0.175;;
1968;99.72804996;42.79613551;4.349251456;0.19;;
1968.5;106.4698312;46.38306629;4.674705647;0.2;;
1969;113.2116124;49.96999706;5.000159837;0.21;;
1969.5;120.6326029;54.0806395;5.374925269;0.22;;
1970;128.0535934;58.19128193;5.749690701;0.23;;
1970.5;136.0531696;62.7465852;6.173767373;0.245;;
1971;144.0527458;67.30188847;6.597844046;0.26;;
1971.5;152.6711571;72.35620002;7.086025332;0.27;;
1972;161.2895684;77.41051157;7.574206618;0.28;;
1972.5;170.7481868;83.13675505;8.131423641;0.3;;
1973;180.2068052;88.86299854;8.688640664;0.32;;
1973.5;190.5307866;95.2512926;9.329686797;0.34;;
1974;200.854768;101.6395867;9.97073293;0.36;;
1974.5;211.3196224;107.7907283;10.70547042;0.39;;
1975;221.7844768;113.9418699;11.44020791;0.42;;
1975.5;231.7663379;121.0762061;12.28343013;0.45;;
1976;241.748199;128.2105422;13.12665235;0.48;;
1976.5;251.1917239;134.7569379;14.08822155;0.515;;
1977;260.6352487;141.3033336;15.04979075;0.55;;
1977.5;271.6463906;148.1012108;16.78554644;0.615;;
1978.5;282.6575324;154.8990879;18.52130212;0.68;;
1979;283.1494544;157.2478254;19.78366989;0.73;;
1979.5;291.5620637;160.8027158;21.23342037;0.77;;
1980;305.5711614;167.2725307;22.68317086;0.83;;
1980.5;306.790652;171.6264728;24.25126832;0.88;;
1981;314.2117278;174.0226395;25.82922804;0.94;;
1981.5;328.489607;178.4938373;27.45649899;0.99;;
1982;334.2178661;181.8863483;29.08376994;1.05;;
1982.5;346.5054094;186.8598353;31.168;1.12;;
1983;352.7009089;191.726277;32.71323333;1.18;;
1983.5;364.6503622;196.1171085;34.5725;1.25;;
1984;372.3500241;200.7635311;36.7536;1.32;;
1984.5;374.9479078;202.9189283;39.9125;1.39;;
1985;382.1313063;210.2180969;42.35833333;1.47;;
1985.5;391.3131548;214.4178938;44.8089;1.54;;
1986;409.0439473;222.0635596;47.478;1.62;;
1986.5;417.5469111;226.0176464;51.0614;1.7;;
1987;426.5188057;232.2015682;53.8477;1.79;;
1987.5;440.225989;238.5505043;56.634;1.87;;
1988;451.4509155;246.7228328;60.756;1.96;;
1988.5;462.3076619;252.1245008;64.332;2.05;;
1989;467.0098178;255.7992818;67.35483333;2.15;;
1989.5;476.5223183;260.196042;70.6836;2.24;;
1990;485.2977827;263.2710403;73.1601;2.34;;
1990.5;492.9886542;262.354733;76.87766667;2.44;;
1991;499.1513589;265.8253046;78.27133333;2.541618306;;
1991.5;503.5025774;265.9376198;80.43093333;2.654163428;;
1992;509.2487552;268.5284442;80.9743;2.76670855;;
