Group,Project,Site,Country,WMO Code,Latitude,Longitude,Altitude,Type of Site,Source of Information,Sample Name,Media Type,Date,Begin of Period,End of Period,Comment,O18,O18 Provider,H2,H2 Provider,H3,H3 Error,H3 Provider,Precipitation,Air Temperature,Vapour Pressure
"GNIP","GNIP/M/AT/02","GRAZ (UNIVERSITAET)","AT","1129001","47.0777777777778","15.4488888888889","366","Precipitation collectors - unknown","Partners: Zentralanstalt für Meteorologie und Geodynamik, Vienna; Arsenal Research, Vienna|
Reference: Rank & Papesch 2005","197301","Water - Precipitation - unspecified (not reported)","1973-01-15","1973-01-01","1973-01-31","","-16.26","Arsenal Research","-121.9","Arsenal Research","43","2","Arsenal Research","40","",""
"GNIP","GNIP/M/AT/02","GRAZ (UNIVERSITAET)","AT","1129001","47.0777777777778","15.4488888888889","366","Precipitation collectors - unknown","Partners: Zentralanstalt für Meteorologie und Geodynamik, Vienna; Arsenal Research, Vienna|
Reference: Rank & Papesch 2005","197302","Water - Precipitation - unspecified (not reported)","1973-02-15","1973-02-01","1973-02-28","","-9.97","Arsenal Research","-66.7","Arsenal Research","52","3","Arsenal Research","29","",""
"GNIP","GNIP/M/AT/02","GRAZ (UNIVERSITAET)","AT","1129001","47.0777777777778","15.4488888888889","366","Precipitation collectors - unknown","Partners: Zentralanstalt für Meteorologie und Geodynamik, Vienna; Arsenal Research, Vienna|
Reference: Rank & Papesch 2005","197303","Water - Precipitation - unspecified (not reported)","1973-03-15","1973-03-01","1973-03-31","","-12.62","Arsenal Research","-93.1","Arsenal Research","142","10","Arsenal Research","18","",""
"GNIP","GNIP/M/AT/02","GRAZ (UNIVERSITAET)","AT","1129001","47.0777777777778","15.4488888888889","366","Precipitation collectors - unknown","Partners: Zentralanstalt für Meteorologie und Geodynamik, Vienna; Arsenal Research, Vienna|
Reference: Rank & Papesch 2005","197304","Water - Precipitation - unspecified (not reported)","1973-04-15","1973-04-01","1973-04-30","","-9.1","Arsenal Research","-63.6","Arsenal Research","160","8","Arsenal Research","37","",""
"GNIP","GNIP/M/AT/02","GRAZ (UNIVERSITAET)","AT","1129001","47.0777777777778","15.4488888888889","366","Precipitation collectors - unknown","Partners: Zentralanstalt für Meteorologie und Geodynamik, Vienna; Arsenal Research, Vienna|
Reference: Rank & Papesch 2005","197305","Water - Precipitation - unspecified (not reported)","1973-05-15","1973-05-01","1973-05-31","","-4.65","Arsenal Research","-30.6","Arsenal Research","157","7","Arsenal Research","43","",""
"GNIP","GNIP/M/AT/02","GRAZ (UNIVERSITAET)","AT","1129001","47.0777777777778","15.4488888888889","366","Precipitation collectors - unknown","Partners: Zentralanstalt für Meteorologie und Geodynamik, Vienna; Arsenal Research, Vienna|
Reference: Rank & Papesch 2005","197306","Water - Precipitation - unspecified (not reported)","1973-06-15","1973-06-01","1973-06-30","","-6.93","Arsenal Research","-44.6","Arsenal Research","124","6","Arsenal Research","270","",""
"GNIP","GNIP/M/AT/02","GRAZ (UNIVERSITAET)","AT","1129001","47.0777777777778","15.4488888888889","366","Precipitation collectors - unknown","Partners: Zentralanstalt für Meteorologie und Geodynamik, Vienna; Arsenal Research, Vienna|
Reference: Rank & Papesch 2005","197307","Water - Precipitation - unspecified (not reported)","1973-07-15","1973-07-01","1973-07-31","","-6.58","Arsenal Research","-45.8","Arsenal Research","151","7","Arsenal Research","139","",""
"GNIP","GNIP/M/AT/02","GRAZ (UNIVERSITAET)","AT","1129001","47.0777777777778","15.4488888888889","366","Precipitation collectors - unknown","Partners: Zentralanstalt für Meteorologie und Geodynamik, Vienna; Arsenal Research, Vienna|
Reference: Rank & Papesch 2005","197308","Water - Precipitation - unspecified (not reported)","1973-08-15","1973-08-01","1973-08-31","","-5.49","Arsenal Research","-36.3","Arsenal Research","131","6","Arsenal Research","61","",""
"GNIP","GNIP/M/AT/02","GRAZ (UNIVERSITAET)","AT","1129001","47.0777777777778","15.4488888888889","366","Precipitation collectors - unknown","Partners: Zentralanstalt für Meteorologie und Geodynamik, Vienna; Arsenal Research, Vienna|
Reference: Rank & Papesch 2005","197309","Water - Precipitation - unspecified (not reported)","1973-09-15","1973-09-01","1973-09-30","","-8.53","Arsenal Research","-57.1","Arsenal Research","55","3","Arsenal Research","190","",""
"GNIP","GNIP/M/AT/02","GRAZ (UNIVERSITAET)","AT","1129001","47.0777777777778","15.4488888888889","366","Precipitation collectors - unknown","Partners: Zentralanstalt für Meteorologie und Geodynamik, Vienna; Arsenal Research, Vienna|
Reference: Rank & Papesch 2005","197310","Water - Precipitation - unspecified (not reported)","1973-10-15","1973-10-01","1973-10-31","","-8.4","Arsenal Research","-62.2","Arsenal Research","76","4","Arsenal Research","30","",""
