Time;Model run;Model type; mean travel time; half time; PD; eta
2023-07-20 13:29:07.674092;1;3;10;12.32;0.1;0.5
2023-07-20 13:29:44.694331;2;3;10;12.32;1.0;0.5
2023-07-20 13:30:11.829995;3;3;10;12.32;10.0;0.5
2023-07-20 13:30:54.669156;4;3;10;12.32;0.1;0.5
2023-07-20 13:31:31.863560;5;3;10;12.32;5.0;0.5
2023-07-20 13:33:50.033289;6;3;5;12.32;5.0;0.5
2023-07-20 13:34:02.473215;7;3;1;12.32;5.0;0.5
2023-07-20 13:34:18.373791;8;3;1;12.32;1.0;0.5
2023-07-20 13:34:47.061625;9;3;50;12.32;1.0;0.5
2023-07-20 13:34:59.340425;10;3;50;12.32;10.0;0.5
2023-07-20 13:35:33.576963;11;3;100;12.32;10.0;0.5
2023-07-20 13:35:56.667259;12;3;20;12.32;10.0;0.5
2023-07-20 13:36:31.509012;13;3;20;12.32;20.0;0.5
2023-07-20 13:36:43.455548;14;3;10;12.32;20.0;0.5
2023-07-20 13:37:14.965735;15;3;10;12.32;1.0;0.5
2023-07-20 13:37:24.154886;16;3;10;12.32;10.0;0.5
2023-07-20 13:37:38.553887;17;3;10;12.32;100.0;0.5
2023-07-20 13:37:56.955818;18;2;10;12.32;100.0;0.5
2023-07-20 13:38:19.571159;19;3;10;12.32;50.0;0.5
2023-07-20 13:38:59.680601;20;3;10;12.32;5.0;0.5
2023-07-20 13:39:11.667335;21;3;1;12.32;5.0;0.5
2023-07-20 13:39:32.155644;22;3;5;12.32;5.0;0.5
2023-07-20 13:39:48.394383;23;3;5;12.32;3.0;0.5
2023-07-20 13:39:59.522449;24;3;3;12.32;3.0;0.5
2023-07-20 13:40:41.870559;25;3;5;12.32;3.0;0.5
2023-07-20 13:40:55.217989;26;3;5;12.32;2.0;0.5
2023-07-20 15:29:05.941570;27;3;1;12.32;3.0;0.5
2023-07-20 15:30:28.385658;1;3;2;12.32;3.0;0.5
2023-07-20 15:36:13.193630;2;3;3;12.32;3.0;0.5
2023-07-20 15:36:58.981036;3;3;2;12.36;3.0;0.5
2023-07-20 15:37:16.322825;4;3;5;12.36;3.0;0.5
2023-07-20 15:37:33.570670;5;3;5;12.36;2.0;0.5
2023-07-20 15:37:45.017939;6;3;5;12.36;4.0;0.5
2023-07-20 15:37:54.370238;7;3;3;12.36;4.0;0.5
2023-07-20 15:38:03.290280;8;3;2;12.36;4.0;0.5
2023-07-20 15:38:15.029142;9;3;2;12.36;3.0;0.5
2023-07-20 15:38:25.547343;10;3;2;12.36;2.0;0.5
2023-07-20 15:38:39.562883;11;3;2;12.36;3.0;0.5
2023-07-20 15:40:19.963430;12;3;2;12.36;3.0;0.5
